record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2024-06-18,30.0,30.0,30.0,30.0,0.0,100,3000,3000
2020-01-17,30.0,30.0,30.0,30.0,0.0,100,3000,3000
2017-09-27,30.0,30.0,30.0,30.0,0.0,2516,75480,75480
2017-04-19,30.0,30.0,30.0,30.0,0.0,399,11970,11970
2016-09-07,30.0,30.0,30.0,30.0,0.0,1425,42750,42750
2016-05-09,30.0,30.0,30.0,30.0,0.0,687,20610,20610
2015-11-24,30.0,30.0,30.0,30.0,0.0,1355,40650,40650
2015-08-27,30.0,30.0,30.0,30.0,0.0,51590,1547700,1547700
2015-05-14,30.0,30.0,30.0,30.0,0.0,3228,96840,96840
