record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2016-12-09,12199.0,12199.0,12199.0,12199.0,-3.0,1,12199,12199
2016-12-07,12576.0,12576.0,12576.0,12576.0,-2.99,58,729408,729408
2016-12-06,12964.0,12964.0,12964.0,12964.0,-2.99,15,194460,194460
2016-12-05,13364.0,13364.0,13364.0,13364.0,-3.0,1,13364,13364
2016-11-24,13777.0,13777.0,13777.0,13777.0,-3.0,10,137770,2204320
2016-11-23,14203.0,14203.0,14203.0,14203.0,10.0,1,14203,1016203
2016-11-15,12912.0,12912.0,12912.0,12912.0,-3.0,1,12912,6554112
2016-11-14,13311.0,13311.0,13311.0,13311.0,10.0,5,66555,6066555
2016-10-27,12101.0,12101.0,12101.0,12101.0,-3.0,3,36303,36303
2016-10-25,12647.0,12647.0,11500.0,12474.95,8.5,100,1247495,1247495
2016-10-21,11498.0,11498.0,11498.0,11498.0,0.0,177,2035146,2035146
2016-10-20,11498.0,11498.0,11498.0,11498.0,0.0,65,747370,9510550
2016-10-19,11498.0,11498.0,11498.0,11498.0,10.0,45,517410,517410
2016-10-18,10453.0,10453.0,10453.0,10453.0,10.0,50,522650,522650
2016-09-22,9503.0,9503.0,9503.0,9503.0,0.02,33,313599,313599
2016-08-15,9501.0,9501.0,9501.0,9501.0,-2.05,50,475050,475050
2016-08-08,9700.0,9700.0,9700.0,9700.0,-3.0,5,48500,48500
2016-08-05,10000.0,10000.0,10000.0,10000.0,2.56,50,500000,500000
2016-08-04,9750.0,9750.0,9750.0,9750.0,2.62,5,48750,48750
2016-07-27,9501.0,9501.0,9501.0,9501.0,0.0,505,4798005,4798005
2016-07-12,9501.0,9501.0,9501.0,9501.0,-2.9,8,76008,76008
2016-07-11,9785.0,9785.0,9785.0,9785.0,3.0,10,97850,97850
2016-06-28,9500.0,9500.0,9500.0,9500.0,-1.87,42,399000,399000
2016-06-10,9681.0,9681.0,9681.0,9681.0,10.0,1,9681,1444881
2016-06-07,8801.0,8801.0,8800.0,8800.94,-2.61,180,1584170,1584170
2016-06-02,9037.0,9037.0,9037.0,9037.0,0.01,63,569331,569331
2016-05-27,9036.0,9036.0,9036.0,9036.0,-3.0,84,759024,759024
2016-05-25,9315.0,9315.0,9315.0,9315.0,-3.0,5,46575,46575
2016-05-23,9603.0,9603.0,9603.0,9603.0,-3.0,3,28809,28809
2016-05-12,9900.0,9900.0,9900.0,9900.0,10.0,17,168300,168300
2016-04-14,9000.0,9000.0,9000.0,9000.0,-2.82,9,81000,81000
2016-04-13,9261.0,9261.0,9261.0,9261.0,2.99,10,92610,92610
2016-04-11,8992.0,8992.0,8992.0,8992.0,0.01,5,44960,44960
2016-04-06,8991.0,8991.0,8991.0,8991.0,0.0,20,179820,179820
2016-04-05,8991.0,8991.0,8991.0,8991.0,0.0,9,80919,80919
2016-04-04,8991.0,8991.0,8991.0,8991.0,-0.01,15,134865,134865
2016-03-30,8992.0,8992.0,8992.0,8992.0,-0.33,65,584480,584480
2016-03-29,9022.0,9022.0,9022.0,9022.0,10.0,10,90220,90220
2016-03-11,8202.0,8202.0,8202.0,8202.0,-0.01,5,41010,3843060
2016-03-03,8203.0,8203.0,8203.0,8203.0,0.04,76,623428,623428
2016-02-22,8200.0,8200.0,8200.0,8200.0,-2.91,78,639600,639600
