record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2024-07-04,372.0,372.0,372.0,372.0,0.0,14644,5447568,5447568
2023-09-13,372.0,372.0,372.0,372.0,0.0,5300,1971600,1971600
2023-02-27,372.0,372.0,372.0,372.0,0.0,4886,1817592,1817592
2022-09-19,372.0,372.0,372.0,372.0,0.0,16287,6058764,6058764
2018-10-02,372.0,372.0,372.0,372.0,20.0,698,259656,259656
2015-12-03,310.0,310.0,310.0,310.0,26.02,614,190340,190340
2015-10-05,246.0,246.0,246.0,246.0,-38.5,514,126444,126444
2015-10-01,400.0,400.0,400.0,400.0,36.52,471,188400,188400
2015-09-30,293.0,293.0,293.0,293.0,-77.67,643,188399,188399
