record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2024-08-16,750.0,750.0,750.0,750.0,0.0,94,70500,70500
2023-12-20,750.0,750.0,750.0,750.0,0.0,10,7500,7500
2023-12-11,750.0,750.0,750.0,750.0,0.0,409,306750,306750
2023-11-10,750.0,750.0,750.0,750.0,0.0,9,6750,6750
2023-05-12,750.0,750.0,750.0,750.0,0.0,566,424500,424500
2019-03-04,750.0,750.0,750.0,750.0,0.0,20,15000,15000
2018-07-17,750.0,750.0,750.0,750.0,0.0,11,8250,8250
2015-10-22,750.0,750.0,750.0,750.0,0.0,125,93750,93750
2015-05-07,750.0,750.0,750.0,750.0,0.0,110,82500,82500
