record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2024-02-21,2770.0,2770.0,2770.0,2770.0,0.0,70,193900,193900
2023-01-24,2770.0,2770.0,2770.0,2770.0,0.0,965,2673050,2673050
2022-12-13,2770.0,2770.0,2770.0,2770.0,0.0,30,83100,83100
2021-06-29,2770.0,2770.0,2770.0,2770.0,104.73,314,869780,869780
2019-03-13,1353.0,1353.0,1353.0,1353.0,0.0,100,135300,135300
2018-10-30,1353.0,1353.0,1353.0,1353.0,0.0,130,175890,175890
2018-08-01,1353.0,1353.0,1353.0,1353.0,0.0,650,879450,879450
2015-11-04,1353.0,1353.0,1353.0,1353.0,-51.28,1617,2187801,2187801
2015-06-26,2777.0,2777.0,2777.0,2777.0,105.7,4502,12502054,12502054
