record_date,last_price,high_price,low_price,avg_price,percent_change,volume,turnover_best,total_turnover
2024-08-16,6150.0,6150.0,6150.0,6150.0,0.0,188,1156200,1156200
2018-09-20,6150.0,6150.0,6150.0,6150.0,,62,381300,381300
